기업명,대학명,대표자,사업자등록번호,산업분류,업종업태,주소
더인텍트,전남대학교,조은정,373-81-02507,,기능성 화장품 제조,"광주광역시 북구 첨단벤처소로38번길 20-13, 301호(월출동, 한국광기술원)"
더좋은커피협동조합,전남대학교,조석진,276-86-01352,스마트뿌리,"제조,도소매,서비스",광주 북구 운암동 33-4 2층
더컨비니쿡,전남대학교,오성진,531-72-00383,스마트뿌리,제조업(식품),전남 나주시 우정로 10 B 나동
데이터투에너지,전남대학교,한상민,333-86-02955,스마트뿌리,마이크로인버터 제조업,광주 북구 첨단과기로208번길 43-10 405호
데일리즈 의원,전남대학교,한지명,345-09-00944,메디헬스,일반의원 보건업,"경기 고양시 일산동구 무궁화로 32-12 5동 502층 (장항동, 라페스타E)"
델퍼,전남대학교,이민철,484-88-02863,스마트뿌리,제조업/자동거래단말기 제조,"광주 북구 용봉로 77, 산학협력공학관 709호 (용봉동, 전남대학교)"
도울국제특허법률사무소,조선대학교,임영택,377-36-00137,,변리사업,
돌샘이엔지,전남대학교,조유승,358-86-00806,스마트뿌리,"서비스/학술,연구용역","광주광역시 북구 두리봉길 32-1, 1층 점포(두암동)"
동구노인종합복지관,조선간호대학교,주리애,408-82-61702,,보건업 및 사회복지 서비스업,
동네티콘,전남대학교,박용범,420-81-02079,데이터,정보통신업,"광주 동구 금남로 245 532호 (금남로1가, 전일빌딩)"
동네한바퀴,조선대학교,문성주,729-01-01733,,서비스업,
동명병원,조선간호대학교,정찬영,193-98-01384,,보건업 및 사회복지 서비스업,
동명지게차서비스,조선대학교,임행모,410-21-96090,,도소매업,
동산측량정보,전남대학교,김현삼,410-86-83293,데이터,서비스업/기타 공학 연구개발업,광주 남구 서문대로556번길 22 4층 동산측량정보㈜ (송하동)
동아병원,조선간호대학교,이경호,410-96-07163,,보건업 및 사회복지 서비스업,
두암기독병원,조선간호대학교,손영남,132-99-53827,,보건업 및 사회복지 서비스업,
드레스팩토리협동조합,전남대학교,김현진,279-81-01808,스마트뿌리,제조업/직물제품,광주 북구 자동차로 62-1 2층207호 (신안동)
드론세상,전남대학교,장윤경,816-81-01325,모빌리티,"서비스, 도소매, 드론개발",전남 여수시 성산6길 27-9 1층 (화장동)
디노웍스,조선대학교,이시영,570-86-00070,,서비스,
디닷케어,전남대학교,허수진,189-88-02196,데이터,정보통신업/디지털 헬스케어,"광주 북구 첨단과기로 123 에이동 216-2호 (오룡동, 광주과학기술원)"
디딤건축사사무소,조선대학교,장진영,412-81-47041,,"건축설계업, 문화재실측설계업, 문화재감리업, 학술연구용역",
